"","x","y"
"22660",-0.615345969621873,10.7663086801725
"195944",-2.13349879978386,7.63118833859533
"169844",0.0314410349441832,8.10729543917868
"173793",-0.211104091768088,8.03543021644912
"285650",0.076356799150159,6.0142208271802
"179321",0.336868231544821,7.93661553519597
"75674",-2.09756618841908,9.80511132616458
"27079",-1.10043622304641,10.6854603046017
"238706",-1.95383574295996,6.85863719425255
"75646",-2.34909446797255,9.80511132616458
"108990",-1.94485259011876,9.2032400858045
"49258",-2.77130265150872,10.2812184267479
"277365",-2.91503309696785,6.15795127263932
"99293",0.238053550291673,9.3829031426284
"77100",-2.68147112309677,9.77816186764099
"64734",-2.15146510546625,10.0027406886709
"110901",-2.6365553588908,9.16730747443972
"326230",-1.48671179521781,5.27760229420219
"21623",-1.00162154179327,10.7842749858549
"274947",-2.31316185660777,6.2028670368453
"78667",-1.99875150716594,9.75121240911741
"81658",-1.91790313159518,9.69731349207023
"214313",-2.31316185660777,7.29881168347111
"112032",-1.40586341964705,9.14934116875733
"269952",-2.53774067763765,6.29269856525725
"107669",-0.417716607115578,9.23018954432808
"122909",-1.91790313159518,8.95171180625103
"166614",-2.19638086967223,8.16119435622585
"88241",-0.821958484969362,9.5805325051347
"103477",-2.35807762081374,9.30205476705765
"243188",-1.8729873673892,6.77778881868179
"251157",-1.72027376908888,6.63405837322267
"242123",-2.51079121911406,6.79575512436418
"118430",-1.97180204864235,9.03256018182179
"34380",-2.48384176059048,10.5507130119838
"179773",-0.0673736463089645,7.92763238235478
"299550",-0.0673736463089645,5.76269254762673
"97000",-2.50180806627287,9.41883575399318
"183965",-2.59163959468482,7.84678400678402
"63769",-1.89095367307159,10.0207069943533
"227198",-2.64553851173199,7.06524970960004
"262120",-1.45976233669422,6.43642901071637
"190252",0.309918773021235,7.73898617268968
"205895",-2.03468411853072,7.45152528177143
"183553",-1.82807160318323,7.85576715962522
"262981",-2.65452166457319,6.41846270503398
"260618",-1.55857701794737,6.46337846923996
"203122",-0.157205174720916,7.5054241988186
"296469",-0.95670577758729,5.8165914646739
"108525",-1.65739169920052,9.21222323864569
"89540",-2.54672383047884,9.55358304661111
"229745",-2.08858303557789,7.02033394539406
"336124",-1.89993682591279,5.09793923737828
"274641",-0.597379663939482,6.21185018968649
"183040",-1.97180204864235,7.86475031246641
"177708",-0.759076415080996,7.96356499371956
"151737",-1.89993682591279,8.43068894146171
"312234",-2.20536402251343,5.52913057375565
"20013",-2.0706167298955,10.8112244443784
"210357",-2.13349879978386,7.37067690620067
"352506",-2.0706167298955,4.80149519361884
"78334",-0.52551444120992,9.7601955619586
"266278",0.175171480403307,6.36456378798681
"105698",-0.265003008815259,9.26612215569286
"188634",-0.830941637810557,7.76593563121326
"273573",-1.26213297418793,6.22981649536888
